title,seafood,salad,cream_based,asian,baking_goods,meat,italian,mexican
Easy Curried Cauliflower Soup,0,0,0,0.664571881,0.330840617,0,0,0
Chef Johns Garlic And Ginger Bok Choy,0,0,0.993055582,0,0,0,0,0
Low Carb Fauxtato Salad,0.990112901,0,0,0,0,0,0,0
Healthy Warm Farro Salad,0.571669698,0,0,0,0.421722323,0,0,0
Pearl Couscous Salad,0.111743465,0,0.174319535,0,0,0,0.711672187,0
Iranian Persian Salad Shirazi,0.789693296,0,0,0.204891205,0,0,0,0
The Day After Turkey Soup,0,0,0,0,0.988486767,0,0,0
Thai Carrot Salad,0,0,0.992290437,0,0,0,0,0
Bacon And Tomato Quesadillas,0,0,0,0.365677953,0,0,0.333161682,0.296199471
Chili Dogs With Cheese,0,0,0,0,0.713121951,0.275064766,0,0
Pico De Gallo With Cabbage Mexican Coleslaw,0,0,0,0.992290735,0,0,0,0
Sandys Simple Spring Lettuce Salad,0.753478825,0,0.240568757,0,0,0,0,0
Baked Chili Hot Dogs,0,0,0,0,0,0,0,0.977271378
Blt Salad With Sweet Onion Vinaigrette,0,0,0.340518713,0,0,0,0.655749738,0
Curried Cream Of Cauliflower Soup,0,0,0.208274066,0,0.787747025,0,0,0
Brown Rice And Kale Salad,0,0,0,0,0.982843041,0,0,0
Moms Ham And Bean Soup,0,0,0,0.52826333,0.463261992,0,0,0
Favorite Basil Tomato Soup,0,0,0,0,0,0,0.620900035,0.369230717
Lentil Ham Soup,0.188669011,0,0,0,0.806743741,0,0,0
Quinoa Tabbouleh Salad,0.752471089,0,0,0.241576537,0,0,0,0
Easy Healthy Kale Salad,0.982842207,0,0,0,0,0,0,0
Best Greek Quinoa Salad,0.203936219,0,0,0,0,0,0.79064858,0
Asian Quinoa Salad,0,0,0.99535799,0,0,0,0,0
Creamy Avocado Egg Salad,0.688380599,0,0,0.30620417,0,0,0,0
My Red Beans And Rice,0,0,0,0.717517376,0.277895391,0,0,0
Raw Beet Salad,0.493201941,0,0,0,0,0,0.500845551,0
Lebanese Radish Salad,0.986219466,0,0,0,0,0,0,0
Greek Zoodle Salad,0.460893989,0,0,0.151814774,0,0,0.381784499,0
Savory Spanish Potato Salad,0.993682265,0,0,0,0,0,0,0
Taco Salad With Lime Vinegar Dressing,0.117546983,0,0,0.878721178,0,0,0,0
Mexican Chicken Quinoa Salad,0,0,0,0.71750772,0.278230757,0,0,0
Busy Day Slow Cooker Taco Soup,0,0,0,0.991335511,0,0,0,0
Almost White Castler Hamburgers,0,0,0,0,0.990111053,0,0,0
Tomato Basil Salad,0.304002255,0,0,0,0,0,0.690045357,0
Super Fluffy Bread Sticks,0,0,0,0,0.503134787,0,0,0.490257263
Breadsticks,0,0,0,0,0,0,0.228700384,0.765884399
Wild Rice Corn And Black Bean Quesadillas,0,0,0,0.603202045,0,0,0,0.390188992
Bruschetta Salad,0,0,0,0,0,0,0.994204938,0
Green Salad With Cranberry Vinaigrette,0.303905755,0,0,0,0,0,0.691507041,0
Grilled Potato Salad,0,0,0,0,0,0.312571973,0.682840765,0
Hot Dog Mummies,0,0,0,0,0,0.982839823,0,0
Supremely Spicy Hummus,0,0,0,0.991335809,0,0,0,0
Buttered Noodles,0,0,0,0,0.977272689,0,0,0
Cucumber Slaw,0,0,0.990112722,0,0,0,0,0
Roasted Beet Arugula And Walnut Salad,0,0,0,0,0,0,0.991336048,0
Hawaiian Cole Slaw,0.187678188,0,0,0,0,0.804895878,0,0
Cheesy Crust Skillet Pizza,0,0,0,0,0,0,0.990112484,0
Ts Smoky Noodle Bowl,0,0,0.493903846,0.502951205,0,0,0,0
Cold Pasta Primavera Salad From Hidden Valleyr,0,0,0,0.459675223,0,0,0.421935946,0.115278982
Texi Fied Black Beans And Brown Rice,0,0,0.483851731,0.507673562,0,0,0,0
Zucchini Pie With Bacon,0,0,0,0,0.745279551,0,0,0.248767927
Carrot Hot Dogs,0,0,0.993055165,0,0,0,0,0
Drowned Beef Sandwich With Chipotle Sauce Torta Ahogada,0,0,0.597793043,0,0.396790951,0,0,0
Curried Pumpkin Soup With Chives,0,0,0,0,0.982842505,0,0,0
Tuna Buns,0,0,0,0,0,0,0.992290199,0
Smoked Salmon Pinwheels,0,0,0,0.337381065,0,0,0.355990559,0.296785653
Roasted Sweet Potato Quinoa Salad,0.994205296,0,0,0,0,0,0,0
Hot Ham And Cheese Sandwiches,0,0,0,0,0,0.451681942,0,0.542365372
Ham And Swiss Sliders,0,0,0,0,0,0.344373643,0.347272605,0.303393394
Claires Curried Butternut Squash Soup,0,0,0.993681967,0,0,0,0,0
Blt Salad With Basil Mayo Dressing,0,0,0,0,0,0,0.993055522,0
Beet White Bean Salad,0,0,0,0,0,0.177766934,0.816280484,0
Roasted Pork Banh Mi Vietnamese Sandwich,0,0,0.278354257,0,0,0.717383683,0,0
Greek Spinach And Cheese Quiche Squares,0,0,0,0,0,0,0.302866429,0.692871869
Sandwich Rolls,0,0,0,0,0,0,0,0.982843041
Carries Pad Thai Salad,0,0,0.995646656,0,0,0,0,0
Monte Cristo Sandwich With Bacon,0,0,0.272610098,0,0,0,0,0.7224226
Easy Cloud Bread,0,0,0,0,0,0,0,0.986219645
Johnsonville Brat Hot Tub,0,0,0,0,0,0.749753654,0,0.238433987
Johnsonville Italian Sausage Onions Peppers Skillet,0,0,0,0,0,0,0.993681669,0
The Best Kale Salad,0.527331233,0,0,0.172493055,0,0,0.297247618,0
Cheeseburger Quesadilla,0.543829143,0,0,0,0.450755358,0,0,0
Gluten Free And Paleo Tuna Avocado Cups,0.99535799,0,0,0,0,0,0,0
Eggplant Caponata Sicilian Version,0,0,0,0.419729114,0,0,0.575303853,0
Addictive Asian Beef Slaw Crack Slaw,0,0,0.99535805,0,0,0,0,0
Dees Roasted Carrot Soup,0,0,0,0,0.994205058,0,0,0
Black Bean And Couscous Salad,0,0,0,0.995028377,0,0,0,0
Crunchy Wheat And Rye,0,0,0,0,0,0,0,0.995028138
Darras Famous Tuna Waldorf Salad Sandwich Filling,0.687970817,0,0,0,0,0,0,0.308297485
Whole Wheat Beer Bread,0,0,0,0,0,0,0,0.988486528
Summer Corn Salad,0,0,0,0,0,0,0.99011296,0
The Best Veggie Sandwich,0,0,0.390646249,0,0,0,0.459827662,0.144018054
Chef Johns Bacon And Asparagus Dutch Baby,0.649257302,0,0,0,0,0,0,0.346481293
Loaded Baked Potato Salad,0.174296558,0,0,0,0.819095433,0,0,0
Brown Rice Bean Burrito Bowl,0,0.248718768,0.404617399,0.340475023,0,0,0,0
Baking Perfect Bacon For A Blt,0,0.935181081,0,0,0,0,0,0
Dis Delicious Deluxe Deviled Eggs,0.98622036,0,0,0,0,0,0,0
Autumn Waldorf Salad ,0,0,0,0,0.262239367,0,0,0.72305429
Roasted Raspberry Chipotle Grilled Cheese Sandwich On Sourdough,0,0,0,0,0,0,0,0.966346085
Quick Manhattan Clam Chowder,0.321481913,0,0,0.536377013,0,0.137628287,0,0
Black Bean And Avocado Burritos,0,0,0,0.995646715,0,0,0,0
Cream Of Mushroom Soup Iii,0,0,0,0,0.982843041,0,0,0
Easy Tortellini Soup,0,0,0,0.469900101,0,0,0.525512457,0
Monterey Jerk Dog,0,0,0,0,0,0.460076243,0.530054927,0
Bacon Mushroom Swiss Burger,0,0,0,0,0,0.521119714,0.475366801,0
Mandis Cheesy Potato Soup,0,0,0,0,0.73287791,0,0,0.261169583
Lentil Tacos,0,0,0,0.698125243,0,0.298729956,0,0
Meyer Lemon Avocado Toast,0.988485277,0,0,0,0,0,0,0
Oriental Shrimp Noodle Soup,0,0,0.520509422,0,0.475759,0,0,0
Easy Chorizo Street Tacos,0,0,0,0.990112484,0,0,0,0
Peach And Tomato Caprese Salad,0,0,0,0,0,0,0.993681133,0
Shrimp And Crabmeat Loaf,0,0,0,0,0.307152003,0,0.685422003,0
American Gyros,0,0,0,0,0,0,0.992290735,0
Mamas Best Broiled Tomato Sandwich,0,0,0,0,0,0,0.993055522,0
Instant Potr Spicy Butternut Squash Soup,0,0,0.453267574,0,0.539306521,0,0,0
The Denver Omelet,0,0,0,0.611835957,0,0,0,0.382748753
Tuna And Macaroni Salad,0.990112841,0,0,0,0,0,0,0
Healthier Mediterranean Tuna Salad,0.993682206,0,0,0,0,0,0,0
Blt Wraps,0,0,0,0,0,0,0,0.982842565
Awesome Grilled Cheese Sandwiches,0,0,0,0,0,0,0,0.977272689
Lorraines Club Sandwich,0,0,0,0,0,0,0,0.988485992
Reuben Sandwich,0,0,0,0,0,0,0,0.986219764
Muffuletta Sandwich,0,0,0,0,0,0,0.994205236,0
Cold Rice Salad,0,0,0.468037218,0.527701318,0,0,0,0
A Potato Salad Sandwich,0,0,0,0,0.279002458,0,0.701516151,0
Cuban Midnight Sandwich,0.403021485,0,0,0,0,0,0.590370119,0
Cholesterol King Heart Stopper 2000,0,0,0,0,0,0,0.995357931,0
Classic Cuban Midnight Medianoche Sandwich,0.409069002,0,0,0,0,0.193136916,0,0.392833591
Open Faced Broiled Roast Beef Sandwich,0,0,0,0,0,0.395116657,0.598930657,0
Green Chili Casserole,0,0,0,0.48727712,0,0,0,0.504248202
Reuben Sandwich Ii,0,0,0,0,0,0,0,0.99229002
Special Lobster Bisque,0,0,0,0,0.994205177,0,0,0
Waldorf Salad With Walnut Oil Vinaigrette,0,0,0.302016854,0,0.204310507,0.188016802,0,0.302045614
Croque Monsieur,0,0,0,0,0,0,0,0.994205117
Grilled Peanut Butter And Jelly Sandwich,0,0,0,0,0,0,0,0.986219823
Egg Foo Yung With Mushroom Sauce,0,0,0.991336524,0,0,0,0,0
Philly Cheesesteak Sandwich With Garlic Mayo,0,0,0,0.269719392,0,0,0.725693226,0
Waldorf Goat Cheese Salad,0,0,0,0,0,0,0.977271795,0
Bunwiches,0.504419804,0,0,0,0,0,0,0.488972008
Grilled Pizza Wraps,0,0,0,0,0,0,0.405845553,0.584285498
Italian Grilled Cheese Sandwiches,0,0,0,0,0,0,0.990112543,0
Dill Pickle Soup,0.291515201,0,0,0,0.703897595,0,0,0
Strawberry Spinach And Pear Salad,0,0.583263457,0,0,0,0,0.408261031,0
The Absolute Best Potato Soup,0,0,0,0,0.986217618,0,0,0
Vegetarian Reubens,0,0,0,0.252120346,0,0,0,0.740453303
Doreens Big Game Sandwiches,0,0,0,0,0.426864207,0,0.569622636,0
Make Ahead Lunch Wraps,0,0,0,0.993682146,0,0,0,0
Italian Spinach Cheese Pie,0,0,0,0,0,0,0.982843041,0
Grandmas Easy Turkey Taco Salad,0,0,0,0.97727257,0,0,0,0
California Melt,0,0,0,0,0,0,0.333826244,0.654362023
Margarita Grilled Shrimp,0,0,0,0,0,0.459720403,0.532853544,0
Moms Gourmet Grilled Cheese Sandwich,0,0,0,0,0,0,0,0.982842386
Tomato Bacon Grilled Cheese,0,0,0,0,0,0,0,0.977272451
Fabulous Pesto Pasta Salad,0.358119905,0,0,0,0,0,0.638891995,0
Sweet Carrot Salad,0.982842326,0,0,0,0,0,0,0
Johns Pimento Cheese Spread,0,0,0,0,0,0,0.982841969,0
Ozarks Potato Salad,0.991336167,0,0,0,0,0,0,0
Grilled Hot Turkey Sandwiches,0,0,0,0,0,0,0,0.98848635
Lucky Pea Soup,0,0,0,0.991336584,0,0,0,0
Baked Mac And Cheese For One,0,0,0,0,0,0.354139239,0,0.641273558
Cheesy Potato Salad,0,0,0,0,0.546599388,0,0,0.443532139
Creamy Pimento Cheese,0,0,0,0,0,0,0.97727108,0
School Lunchroom Cafeteria Rolls,0,0,0,0,0,0,0,0.990112901
New Wife Tuna Salad,0.994205236,0,0,0,0,0,0,0
Beautiful Salad,0,0,0.231583118,0,0,0,0.761808097,0
Tortellini Steak And Caesar,0,0,0,0,0,0,0.992290676,0
Bucket Salad,0,0,0,0.990112126,0,0,0,0
Amish Macaroni Salad,0.994205058,0,0,0,0,0,0,0
Fresh Veggie Bagel Sandwich,0.993681908,0,0,0,0,0,0,0
Tuna Salad With Cranberries,0,0,0,0,0,0,0,0.986219823
Salmon Croquettes,0,0,0,0.98622036,0,0,0,0
Spiced Butternut Squash Soup,0,0,0.071831867,0,0.923906684,0,0,0
First Class Bleu Cheese Salad,0,0,0,0,0,0,0,0.982842565
Hot Curried Tuna Sandwiches,0.988486469,0,0,0,0,0,0,0
Mexican Ceviche,0.515822709,0,0,0.478761435,0,0,0,0
Perfect Lobster Bisque,0,0,0,0,0.993054986,0,0,0
Sausage White Bean Soup,0,0,0,0.993681669,0,0,0,0
Crab Avocado Salad With Fruit Salsa,0,0,0,0.986217499,0,0,0,0
Greek Style Shrimp Salad On A Bed Of Baby Spinach,0,0,0,0,0,0,0.995028257,0
Southwestern Flavored Ground Beef Or Turkey For Tacos Salad,0,0,0,0.991336465,0,0,0,0
Classic American Style Potato Salad,0.995028257,0,0,0,0,0,0,0
Spinach And Berries Salad With Non Fat Curry Dressing,0.255940557,0,0.284645796,0,0,0,0.455862194,0
Cream Of Tomato Soup With Pesto,0,0,0,0.636083066,0.357308984,0,0,0
Warm Greek Pita Sandwiches With Turkey And Cucumber Yogurt Sauce,0,0,0.120283119,0,0,0,0.876203477,0
Beakers Vegetable Barley Soup,0,0,0,0.993055344,0,0,0,0
Turkey Wraps,0,0,0,0,0,0,0.519054234,0.475978464
Tomato And Avocado Salad,0,0,0,0,0,0,0.982843041,0
Bread Machine Pumpernickel Bread,0,0,0,0,0,0,0,0.996128082
Pesto Tuna Salad With Sun Dried Tomatoes,0,0,0,0,0,0,0.988486528,0
Great Pimento Cheese,0,0,0,0.302710563,0,0,0.690681398,0
Griddle Style Philly Steak Sandwiches,0,0,0,0,0,0.341034353,0.653550088,0
Harvey Ham Sandwiches,0,0,0,0,0,0.935183764,0,0
Yummy Lemon Salmon Burgers,0.787588775,0,0,0,0,0,0.208149806,0
Quick Sausage And Bell Pepper Calzones,0,0,0,0.281628132,0,0,0.714858651,0
Vietnamese Sandwich,0.604112923,0,0,0,0,0.390919834,0,0
Tuna Noodles Pickles And Cheese,0.988486648,0,0,0,0,0,0,0
Grape And Feta Salad,0,0,0,0.68850261,0,0,0.304070324,0
Green Banana Fries,0,0,0,0,0,0,0,0.982840598
Authentic German Potato Salad,0,0,0,0,0.982842982,0,0,0
Stefs Super Cheesy Garlic Bread,0,0,0,0,0,0,0.992290556,0
Crawfish Potato Soup,0,0,0,0,0.995028198,0,0,0
Slow Cooked Corned Beef For Sandwiches,0,0,0,0,0,0.986220121,0,0
Corn Chowder   Fast And Great,0,0,0,0.416491926,0.578920841,0,0,0
Italian Subs   Restaurant Style,0.161099508,0,0,0,0,0,0.835581601,0
Awesome Egg Salad With A Kick,0.992290616,0,0,0,0,0,0,0
Ukrainian Red Borscht Soup,0,0,0,0.237834021,0.698044419,0,0,0.061500881
Ukrainian Sandwiches,0,0,0,0,0,0,0.993681848,0
Fennel Soup,0,0,0,0,0.986218631,0,0,0
Hawaiian Pork Hash,0,0,0.88169235,0,0,0.114794664,0,0
Aunt Bevs Glorified Grilled Cheese Sandwich,0.323572487,0,0,0,0,0,0.405434877,0.264804393
Texas German Potato Salad,0.588939667,0,0,0,0,0,0.405107796,0
Bread In A Bag,0,0,0,0,0,0,0.294173658,0.698399186
Spicy Mango Salad,0.991336405,0,0,0,0,0,0,0
Tuna Cheesies,0,0,0,0.410487503,0.444067895,0,0,0.14048411
Spicy Grilled Cheese Sandwich,0,0,0,0.367660582,0,0,0,0.623864651
Spicy Tomato Bisque With Grilled Brie Toast,0,0,0,0,0,0,0.466418028,0.526156068
Easy Steak Sandwich,0,0,0,0,0,0,0.995646179,0
Strawberry Avocado Salad,0.207759827,0,0.78376478,0,0,0,0,0
Bacon Potato And Egg Taco Ole,0,0,0,0.467076242,0,0,0,0.526971281
Emergency Garlic Bread,0,0,0,0,0,0.717868328,0,0.267425179
Mom Dills Harlequin Salad,0,0,0,0,0,0,0.986219227,0
Worlds Best Potato Salad,0.56375879,0,0,0,0,0,0,0.431274056
Daddys If Theyda Had This At The Alamo We Wouldha Won Texas Chili,0,0,0,0.995028138,0,0,0,0
Homemade Scotch Eggs,0,0,0,0,0,0.385407478,0,0.609625518
Sushi Inspired Tuna Salad,0,0,0.986219823,0,0,0,0,0
Moms Oyster Stew,0,0,0,0,0.993054867,0,0,0
Hot Dog Men,0,0,0,0,0,0,0,0.977271736
Russian Potato Salad,0.991335928,0,0,0,0,0,0,0
Authentic German Bread Bauernbrot,0,0,0,0,0,0,0,0.99011296
Spinach Salad With Pepper Jelly Dressing,0.368565887,0,0,0,0,0,0.624826074,0
Brown Bean Chowder,0,0,0,0,0,0,0.977272689,0
Italian Heroes,0,0,0,0,0,0,0.994204938,0
True Maryland Crab Cakes,0.988486588,0,0,0,0,0,0,0
Mexican Orzo Salad,0,0,0,0.995901585,0,0,0,0
Baked Eggplant Sandwiches,0,0,0,0,0,0,0.799078286,0.197933525
Crab And Swiss Melts,0,0,0,0,0,0,0.994205177,0
Creamy Tomato Basil Soup,0,0,0,0,0.443813711,0,0.551599026,0
Dill Gazpacho,0.423862696,0,0,0.57117033,0,0,0,0
Beet Salad With Goat Cheese,0,0,0,0,0,0,0.982842326,0
Grilled Peanut Butter And Banana Sandwich,0,0,0,0,0,0,0,0.982842863
Best Bean Salad,0,0,0,0.995028377,0,0,0,0
Italian Vegetable Soup With Beans Spinach Pesto,0,0,0,0.516364932,0.479903221,0,0,0
Fresh Salsa,0,0,0,0.992290676,0,0,0,0
Velvety Pumpkin Soup With Blue Cheese And Bacon,0,0,0,0,0,0.312059522,0,0.681987643
Classic Bangers And Mash,0,0,0,0,0.993055284,0,0,0
Hot And Sour Cabbage Soup,0,0,0.60098201,0.252189547,0,0.143512666,0,0
Baked Haddock,0,0,0,0,0.157074198,0,0,0.835499406
Beef Bulgogi,0,0,0.988486767,0,0,0,0,0
Apricot Brown Sugar Ham,0.966335237,0,0,0,0,0,0,0
Taco Stuffed Shells,0,0,0,0.324996114,0.665135443,0,0,0
Blackened Tuna Steaks With Mango Salsa,0,0,0,0.709701657,0,0,0.286566943,0
Grilled Halibut With Cilantro Garlic Butter,0,0,0,0.98622036,0,0,0,0
Broiled Grouper Parmesan,0.603837252,0,0,0,0,0.387688011,0,0
Barbequed Steelhead Trout,0.982842982,0,0,0,0,0,0,0
Coconut Tilapia With Apricot Dipping Sauce,0,0,0.639115334,0,0,0,0,0.34140408
Lamb Tagine,0,0,0.581199229,0,0.41383338,0,0,0
Kofta Kebabs,0,0,0.988486111,0,0,0,0,0
Grilled Beef Tenderloin With Herb Garlic Pepper Coating,0,0,0,0,0.413052261,0,0.579521894,0
Cedar Plank Grilled Salmon With Garlic Lemon And Dill,0.994204938,0,0,0,0,0,0,0
Cedar Planked Salmon,0,0,0.995646596,0,0,0,0,0
Chipotle Shrimp Tacos,0,0,0,0.993055344,0,0,0,0
Jalapeno Steak,0.988486767,0,0,0,0,0,0,0
Melt In Your Mouth Broiled Salmon,0.589049995,0,0,0,0,0,0.404997498,0
Venison Bacon Burgers,0,0,0,0,0,0,0.988486707,0
Shrimp Linguine,0,0,0,0,0.469228476,0,0.524818957,0
Linguine With Scampi,0.99011296,0,0,0,0,0,0,0
Cajun Seafood Pasta,0,0,0,0,0,0,0.995028257,0
Alla Checca,0,0,0,0,0,0,0.99011296,0
Puttanesca I,0,0,0,0.991335809,0,0,0,0
Mostaccioli With Spinach And Feta,0,0,0,0,0,0,0.986220419,0
American Lasagna,0,0,0,0,0,0,0.884373784,0.111038983
Baked Ziti I,0,0,0,0,0,0,0.990112901,0
Hearty Vegetable Lasagna,0,0,0.105279937,0,0,0,0.890458643,0
Fra Diavolo Sauce With Pasta,0,0,0,0,0,0,0.993682027,0
German Spaetzle Dumplings,0.333409935,0,0,0,0,0,0,0.659981728
Fettuccini With Mushroom Ham And Rose Sauce,0,0,0,0,0,0,0.993682146,0
Creamy Pesto Shrimp,0,0,0,0,0.977272451,0,0,0
Linguine With Seafood And Sundried Tomatoes,0.805808187,0,0,0.188239411,0,0,0,0
Penne With Spicy Vodka Tomato Cream Sauce,0,0,0,0,0,0,0.994648099,0
Stuffed Shells I,0,0,0,0,0,0,0.992290616,0
Penne And Vodka Sauce,0,0,0,0,0,0,0.98621887,0
Spinach Lasagna Ii,0,0,0,0,0,0,0.993055522,0
Veggie Lasagna Florentine,0,0,0,0,0,0,0.99535799,0
Easy Lasagna Ii,0,0,0,0,0,0,0.993055522,0
Three Cheese Baked Pasta,0,0,0,0,0,0,0.990112901,0
Ham And Cheese Quiche,0,0,0,0,0,0,0.334904701,0.659142792
Meat Pie Tourtiere,0,0,0,0,0.4780837,0,0,0.516948819
Cornish Finnish Michigan Pasties,0,0,0,0,0.994204998,0,0,0
Grilled Salmon I,0,0,0.992290735,0,0,0,0,0
Clams Italiano,0.988486648,0,0,0,0,0,0,0
Grilled Salmon Ii,0,0,0.994648218,0,0,0,0,0
Scott Ures Clams And Garlic,0,0,0,0,0,0,0.988486767,0
Steak On A Stick,0,0,0.991336405,0,0,0,0,0
Spicy Grilled Shrimp,0.990112901,0,0,0,0,0,0,0
Barbeque Halibut Steaks,0.97727263,0,0,0,0,0,0,0
Cajun Style Blackened Snapper,0,0,0,0.655243874,0.33814767,0,0,0
Spicy Shrimp Creole,0,0,0,0.99535805,0,0,0,0
Sweet Potato Enchiladas,0,0,0,0.993682265,0,0,0,0
Fabulous Beef Tenderloin,0,0,0,0,0.251416862,0.736772001,0,0
Easy Garlic Lemon Scallops,0.986220121,0,0,0,0,0,0,0
Rolled Dumplings,0,0,0,0,0.462111712,0,0,0.528019726
Easy Yet Romantic Filet Mignon,0,0,0,0,0,0,0.990112901,0
Balsamic Roasted Pork Loin,0,0,0,0,0,0.9862203,0,0
Maple Baked Pork Loin Roast,0,0,0,0,0,0.784659624,0,0.205471873
Peppered Shrimp Alfredo,0,0,0,0,0,0,0.995028377,0
The Most Easy And Delish Meatloaf Ever,0,0,0,0.990112126,0,0,0,0
Four Cheese Margherita Pizza,0,0,0,0,0,0,0.991336465,0
Delicious Salmon,0.578835011,0,0.411296487,0,0,0,0,0
Chicago Style Hot Dog,0.306006253,0,0,0.232886553,0,0.456967741,0,0
Homestyle Turkey The Michigander Way,0,0,0,0,0.988486707,0,0,0
Maple Roast Turkey And Gravy,0.081205666,0,0,0,0.915062904,0,0,0
Rosemary Roasted Turkey,0,0,0,0,0,0,0.990112126,0
Turkey Pot Pie I,0,0,0,0,0.700163782,0,0,0.296104699
Easy French Dip Sandwiches,0,0,0,0,0,0.409686238,0.581838608,0
Sexy Shrimp Scampi,0,0,0,0,0,0,0.988486767,0
The Worlds Best Turkey,0,0,0,0,0.991336167,0,0,0
Slammin Salmon,0.396199524,0,0.598385274,0,0,0,0,0
Simple Grilled Lamb Chops,0,0,0,0,0,0,0.988486767,0
Calico Beans,0,0,0,0.481137216,0.223060995,0.291289061,0,0
Turkey Pot Pie Ii,0,0,0,0,0.515689552,0,0,0.476884186
Glazed Baked Ham,0,0.977270722,0,0,0,0,0,0
Manicotti,0,0,0,0,0,0,0.99011296,0
Easy Vegetable Pot Pie,0,0,0,0,0.732475996,0,0,0.257655501
Colorful Vegetable Fajitas,0,0,0,0.994205177,0,0,0,0
Zucchini Patties,0,0,0,0,0,0,0.146587953,0.845986247
Linguine Pasta With Shrimp And Tomatoes,0,0,0,0,0,0,0.994205177,0
Marrakesh Vegetable Curry,0,0,0,0.996128201,0,0,0,0
Pesto Turkey Burgers,0,0,0,0,0,0,0.98622036,0
Pork Marsala,0,0,0,0,0.4097206,0.248562321,0.33621034,0
Rolled Flank Steak,0,0,0.151948377,0,0,0,0.84209913,0
Basic Microwave Risotto,0,0,0,0,0.98622036,0,0,0
Baked Macaroni And Cheese,0,0,0,0,0,0,0,0.986220419
Slow Cooker Pulled Pork,0,0,0,0,0,0.990112066,0,0
Korean Bbq Short Ribs Gal Bi,0,0,0.516402185,0,0,0.476989716,0,0
Amazing Spicy Grilled Shrimp,0.702680469,0,0.291903973,0,0,0,0,0
Grilled Garlic And Herb Shrimp,0.602421403,0,0,0,0,0,0.390970528,0
Butternut Squash Risotto,0,0,0,0,0.990112901,0,0,0
Marinated Pork Tenderloin,0,0,0,0,0,0.97727257,0,0
Portobello Mushroom Burgers,0,0,0,0,0,0,0.992290735,0
Maple Glazed Ribs,0,0,0,0,0,0.990112782,0,0
California Grilled Veggie Sandwich,0,0,0,0.569402099,0,0,0.425182492,0
London Broil I,0,0,0.51823777,0,0,0.473287493,0,0
Asian Beef Skewers,0,0,0.990112841,0,0,0,0,0
Pizza On The Grill I,0,0,0,0,0,0,0.905460596,0.08995223
Prize Winning Baby Back Ribs,0,0,0,0,0,0.982842803,0,0
Barbequed Marinated Flank Steak,0,0,0.966346085,0,0,0,0,0
London Broil Ii,0,0,0.323287725,0,0,0,0.664901137,0
Feta Cheese Turkey Burgers,0,0,0,0,0,0,0.97727263,0
Big Smokey Burgers,0,0,0,0,0,0.840297878,0.154735148,0
Basil Shrimp,0.993055344,0,0,0,0,0,0,0
Veggie Pita Pizza,0,0,0,0,0,0,0.9862203,0
Slovak Stuffed Cabbage,0,0,0,0,0.994205236,0,0,0
Beef Tenderloin With Roasted Shallots,0,0,0,0,0.836294413,0,0.16019237,0
Slow Cooker Barbeque,0,0,0,0.986220419,0,0,0,0
Cola Pot Roast Ii,0,0,0,0,0.99420464,0,0,0
Beef Pot Roast,0,0,0,0,0,0.418345869,0.569843054,0
Rib Eye Steaks With A Soy And Ginger Marinade,0,0,0.327055126,0,0,0.666992426,0,0
Mushroom Meatloaf,0,0,0,0,0.742244601,0,0,0.249280438
Barbecued Beef,0,0,0,0,0,0.993682265,0,0
Liver And Onions,0,0,0,0,0,0,0,0.99228996
Brisket With Bbq Sauce,0.471892446,0,0,0,0,0.520681679,0,0
Sesame Beef,0,0,0.991336644,0,0,0,0,0
French Dip Sandwiches,0,0,0,0,0.292628616,0.701418817,0,0
Souvlaki,0,0,0,0.481012404,0,0.514020562,0,0
Kielbasa And Cabbage,0,0,0,0,0.988486111,0,0,0
Grilled Pork Tenderloin,0,0,0,0,0,0.977272689,0,0
Herbed Pork And Apples,0.110574991,0,0,0,0,0.884457886,0,0
Honey Glazed Ham,0,0,0.656942964,0.328348875,0,0,0,0
Pork Dumplings,0,0,0.888857543,0,0,0.106175467,0,0
Gouda And Spinach Stuffed Pork Chops,0,0,0,0,0,0.681114793,0.30417797,0
Camp David Spaghetti With Italian Sausage,0,0,0,0,0,0,0.994205236,0
Slow Cooker Carolina Bbq,0,0,0,0,0,0.995028377,0,0
Super Simple Super Spicy Mongolian Beef,0,0,0.991336584,0,0,0,0,0
Kielbasa With Brussels Sprouts,0.982842386,0,0,0,0,0,0,0
Fish Tacos With Honey Cumin Cilantro Slaw And Chipotle Mayo,0.309519172,0,0,0,0,0.451585382,0,0.236274689
Grecian Pork Tenderloin,0,0,0,0,0,0.468146443,0.521985054,0
Slow Cooker Posole,0,0,0,0,0,0.992290676,0,0
Baked Cod With Boursin Herb Cheese,0,0,0,0,0,0,0.99368161,0
Individual Beef Wellingtons,0,0,0,0,0.977272689,0,0,0
Mini Meatloaves,0.510770321,0,0,0,0,0,0.460383356,0
Cajun Style Meatloaf,0,0,0,0.332014769,0,0.236300126,0.428133935,0
Spinach And Feta Turkey Burgers,0,0,0,0,0,0,0.986218929,0
Lovers Beef Burgundy Filet,0,0,0.479727268,0,0,0,0.512846887,0
Almond Crusted Tilapia,0.703278005,0,0,0,0,0,0,0.286853522
Crust For Veggie Pot Pie,0,0,0,0,0,0,0,0.982842624
Seared Ahi Tuna Steaks,0.988485813,0,0,0,0,0,0,0
Spicy Shrimp And Grits,0,0,0,0.644499183,0,0,0,0.351769447
Awesome Slow Cooker Pot Roast,0,0,0,0,0.991336167,0,0,0
